,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
25,299.0456,3800000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,y 2G*,9/2,10.0,10.0
26,300.1418,700000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 2G*,7/2,8.0,8.0
27,301.4467,1400000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,*,7/2,10.0,8.0
28,301.8421,6900000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,*,5/2,8.0,6.0
29,303.5309,1400000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,6.0,4.0
30,304.3364,1900000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 4G*,5/2,8.0,6.0
31,304.4882,19000000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,y 4F*,9/2,10.0,10.0
32,304.9769,7500000.0,C+,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 4F*,3/2,6.0,4.0
33,305.5604,160000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 2G*,7/2,6.0,8.0
34,306.2706,16000000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,*,7/2,8.0,8.0
35,306.3085,400000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,8.0,6.0
36,306.5254,550000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 2G*,9/2,8.0,10.0
37,307.2849,1100000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,4.0,4.0
38,307.323,15000000.0,C+,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,*,5/2,6.0,6.0
39,308.3509,2700000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,y 4G*,11/2,10.0,12.0
40,308.767,19000000.0,C+,3p6.3d7.4s2,a 4F,3/2,3p6.3d8.(3F).4p,y 4F*,3/2,4.0,4.0
41,309.0487,2400000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,*,7/2,8.0,8.0
42,309.909,2200000.0,C+,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 4G*,5/2,6.0,6.0
43,311.172,260000.0,C+,3p6.3d7.4s2,a 4F,3/2,3p6.3d8.(3F).4p,*,5/2,4.0,6.0
44,311.9149,230000.0,C+,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,*,7/2,6.0,8.0
45,312.2317,2200000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,y 4D*,7/2,10.0,8.0
46,312.2464,1000000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 4F*,9/2,8.0,10.0
