,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
55,259.49521500000003,11400000.0,3d8,a 3P,nan,3d7.(4F).4p,z 3D*,nan,9.0,15.0
56,511.91416,15187500.0,3d7.(4F).4d,e 5H,nan,3d7.(4F<3/2>).4f,2[7/2]*,nan,55.0,16.0
57,988.03,24605000.0,3d7.(4F<9/2>).4f,2[9/2]*,nan,3d7.(4F<9/2>).5g,2[9/2],nan,20.0,20.0
58,761.238,3385714.285714286,3d7.(4F).5p,5D*,nan,3d7.(4F).6s,3F,nan,21.0,21.0
59,540.67372,6825000.0,3d7.(4F).4d,e 5G,nan,3d7.(4F<9/2>).4f,2[5/2]*,nan,45.0,12.0
60,238.73265450000002,136000000.0,3d7.(4P).4p,y 3P*,nan,3d7.(4P).4d,3D,nan,9.0,15.0
61,993.5472,2882950.0,3d7.(4F<3/2>).4f,2[9/2]*,nan,3d7.(4F<3/2>).5g,2[9/2],nan,20.0,20.0
62,261.799539,45714285.71428572,3d7.(4F).4p,z 5D*,nan,3d7.(4F).5s,e 5F,nan,25.0,35.0
63,231.24012,48000000.0,3d7.(2G).4p,z 1G*,nan,3d7.(2G).4d,3H,nan,9.0,33.0
64,990.24545,48125000.0,3d7.(4F<5/2>).4f,2[5/2]*,nan,3d7.(4F<5/2>).5g,2[7/2],nan,12.0,16.0
65,501.60212,7500000.0,3d7.(4F).4d,e 3D,nan,3d7.(4F<3/2>).4f,2[5/2]*,nan,15.0,12.0
66,581.60398,0.0010554545454545454,3d7.(4F).4s,b 3F,nan,3d7.(2H).4s,a 3H,nan,21.0,33.0
67,2336.486,366666.6666666667,3d7.(4F).4d,f 3F,nan,3d7.(4F).5p,3D*,nan,21.0,12.0
68,240.91643576923076,285351428.5714286,3d7.(4F).4s,a 5F,nan,3d7.(4F).4p,z 5F*,nan,35.0,35.0
69,508.47443499999997,78107142.85714285,3d7.(4F).4d,e 5H,nan,3d7.(4F<7/2>).4f,2[13/2]*,nan,55.0,28.0
70,541.56728,27000000.0,3d7.(4F).4d,e 3D,nan,3d7.(4F<9/2>).4f,2[3/2]*,nan,15.0,8.0
71,224.430862,686071428.5714285,3d7.(2H).4p,z 3I*,nan,3d7.(2H).4d,3K,nan,39.0,28.0
72,267.67495425,22488888.888888888,3d7.(4F).4s,b 3F,nan,3d7.(4F).4p,z 5G*,nan,21.0,45.0
73,518.67516,4675000.0,3d7.(4F).4d,e 5H,nan,3d7.(4F<7/2>).4f,2[9/2]*,nan,55.0,20.0
74,233.127665,290000000.0,3d7.(2G).4p,z 1F*,nan,3d7.(2G).4d,1D,nan,7.0,5.0
75,226.571027,27666666.666666668,3d7.(2G).4p,y 3F*,nan,3d7.(2G).4d,3H,nan,21.0,33.0
76,514.58412,12600000.0,3d7.(4F).4d,e 5D,nan,3d7.(4F<5/2>).4f,2[5/2]*,nan,25.0,12.0
77,839.96083,5490000.0,3d7.(4P).5s,5P,nan,3d7.(4F<7/2>).4f,2[9/2]*,nan,15.0,20.0
78,509.27963,65000000.0,3d7.(4F).4d,e 5G,nan,3d7.(4F<5/2>).4f,2[5/2]*,nan,45.0,12.0
79,988.3102666666667,32208333.333333332,3d7.(4F<9/2>).4f,2[11/2]*,nan,3d7.(4F<9/2>).5g,2[11/2],nan,24.0,24.0
80,506.58876,80000000.0,3d7.(4F).4d,e 5H,nan,3d7.(4F<3/2>).4f,2[9/2]*,nan,55.0,20.0
