,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
691,3d7.(4F).5d,3G,4,9.0,7.340389,6e-06,,                                                     ,,5
692,3d6.4s.(4D).4d,5S,2,5.0,7.3053924,4e-07,,                                                     ,,4
693,3d6.4s.(6D<9/2>).6d,2[11/2],6,13.0,7.3304509,1.7e-06,,                                                     ,,6
694,3d6.4s.(6D<9/2>).6d,2[11/2],5,11.0,7.3377221,2.5e-06,,                                                     ,,6
695,3d6.4s.(6D<9/2>).6d,2[9/2],5,11.0,7.3307827,2.5e-06,,                                                     ,,6
696,3d6.4s.(6D<9/2>).6d,2[9/2],4,9.0,7.331633,4e-06,,                                                     ,,6
697,3d6.4s.(6D<9/2>).6d,2[13/2],6,13.0,7.3332153,2.5e-06,,                                                     ,,6
698,3d6.4s.(6D<9/2>).6d,2[13/2],7,15.0,7.3372775,1.2e-06,,                                                     ,,6
699,3d6.4s.(4D).4d,3S,1,3.0,7.3342434,9e-07,,                                                     ,,4
700,3d6.4s.(6D<9/2>).6d,2[5/2],3,7.0,7.3419976,1.4e-06,,                                                     ,,6
701,3d6.4s.(6D<9/2>).6d,2[7/2],4,9.0,7.344264,6e-06,,                                                     ,,6
702,3d6.4s.(6D<9/2>).6d,2[7/2],3,7.0,7.3462361,2.5e-06,,                                                     ,,6
703,3d7.(4F<7/2>).4f,2[9/2]*,4,9.0,7.34758864,2.5e-07,,                                                     ,,4
704,3d7.(4F<7/2>).4f,2[9/2]*,5,11.0,7.34790914,2.5e-07,,                                                     ,,4
705,3d7.(4F<7/2>).4f,2[11/2]*,6,13.0,7.34779,4e-07,,                                                     ,,4
706,3d7.(4F<7/2>).4f,2[11/2]*,5,11.0,7.34792662,2.5e-07,,                                                     ,,4
707,3d7.(4F<7/2>).4f,2[7/2]*,3,7.0,7.34798266,2.5e-07,,                                                     ,,4
708,3d7.(4F<7/2>).4f,2[7/2]*,4,9.0,7.34801576,2.5e-07,,                                                     ,,4
709,3d7.(4F<7/2>).4f,2[5/2]*,2,5.0,7.34856303,2.5e-07,,                                                     ,,4
710,3d7.(4F<7/2>).4f,2[5/2]*,3,7.0,7.3487069,4e-07,,                                                     ,,4
711,3d7.(4F<7/2>).4f,2[13/2]*,7,15.0,7.3487778,5e-07,,                                                     ,,4
712,3d7.(4F<7/2>).4f,2[13/2]*,6,13.0,7.3489321,5e-07,,                                                     ,,4
713,3d6.4s.(6D<9/2>).5f,2[11/2]*,6,13.0,7.3491091,4e-07,,                                                     ,,5
714,3d6.4s.(6D<9/2>).5f,2[13/2]*,6,13.0,7.349273,4e-07,,                                                     ,,5
715,3d6.4s.(6D<9/2>).5f,2[13/2]*,7,15.0,7.3494681,4e-07,,                                                     ,,5
716,3d7.(4F<7/2>).4f,2[3/2]*,2,5.0,7.349317,4e-07,,                                                     ,,4
717,3d6.4s.(6D<9/2>).5f,2[15/2]*,7,15.0,7.351069,2.5e-06,,                                                     ,,5
718,3d6.4s.(6D<9/2>).5f,2[15/2]*,8,17.0,7.3510758,4e-07,,                                                     ,,5
