,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
181,3s2.3p4.(3P<2>).5g,2[6],13/2,14.0,25.4506959,4e-08,,L15349,5
182,3s2.3p4.(3P<2>).5g,2[2],3/2,4.0,25.4540708,1.6e-07,,L15349,5
183,3s2.3p4.(3P<2>).5g,2[2],5/2,6.0,25.45408951,1.5e-07,,L15349,5
184,3s2.3p4.(3P<1>).5f,2[2]*,3/2,4.0,25.55357413,9e-08,,L15349,5
185,3s2.3p4.(3P<1>).5f,2[2]*,5/2,6.0,25.55566971,4e-08,,L15349,5
186,3s2.3p4.(3P<1>).5f,2[4]*,9/2,10.0,25.55720904,4e-08,,L15349,5
187,3s2.3p4.(3P<1>).5f,2[4]*,7/2,8.0,25.55922152,4e-08,,L15349,5
188,3s2.3p4.(3P<1>).5f,2[3]*,7/2,8.0,25.57120023,4e-08,,L15349,5
189,3s2.3p4.(3P<1>).5f,2[3]*,5/2,6.0,25.57239413,5e-08,,L15349,5
190,3s2.3p4.(3P<1>).5g,2[3],5/2,6.0,25.58252217,1.4e-07,,L15349,5
191,3s2.3p4.(3P<1>).5g,2[3],7/2,8.0,25.58253774,6e-08,,L15349,5
192,3s2.3p4.(3P<1>).5g,2[5],11/2,12.0,25.58388229,4e-08,,L15349,5
193,3s2.3p4.(3P<1>).5g,2[5],9/2,10.0,25.58388835,5e-08,,L15349,5
194,3s2.3p4.(3P<1>).5g,2[4],9/2,10.0,25.59001247,7e-08,,L15349,5
195,3s2.3p4.(3P<1>).5g,2[4],7/2,8.0,25.59001388,7e-08,,L15349,5
196,3s2.3p4.(3P<0>).5f,2[3]*,7/2,8.0,25.61810033,6e-08,,L15349,5
197,3s2.3p4.(3P<0>).5f,2[3]*,5/2,6.0,25.61906799,5e-08,,L15349,5
198,3s2.3p4.(3P<0>).5g,2[4],7/2,8.0,25.6423384,5e-07,,L15349,5
199,3s2.3p4.(3P<0>).5g,2[4],9/2,10.0,25.64233884,5e-08,,L15349,5
200,3s2.3p4.(3P).7s,4P,5/2,6.0,25.67654286,4e-08,,L15349,7
201,3s2.3p4.(3P).7s,4P,3/2,4.0,25.69912067,4e-08,,L15349,7
202,3s2.3p4.(3P).7s,4P,1/2,2.0,25.82951773,9e-08,,L15349,7
203,3s2.3p4.(3P).6d,4D,7/2,8.0,25.75083567,5e-08,,L15349,6
204,3s2.3p4.(3P).6d,4D,5/2,6.0,25.75728027,1.5e-07,,L15349,6
205,3s2.3p4.(3P).6d,4D,3/2,4.0,25.79018407,1.7e-07,,L15349,6
206,3s2.3p4.(3P).6d,4F,9/2,10.0,25.78089157,9e-08,,L15349,6
207,3s2.3p4.(3P).6d,4F,7/2,8.0,25.80645208,6e-08,,L15349,6
208,3s2.3p4.(3P).6d,4F,5/2,6.0,25.87220304,1.1e-07,,L15349,6
209,3s2.3p4.(3P).6d,4F,3/2,4.0,25.94596914,9e-08,,L15349,6
210,3s2.3p4.(3P).7s,2P,3/2,4.0,25.81968425,4e-08,,L15349,7
